DEBUG 11-11 11:08:28,922 (PGDWriter.java:write:47)  -Writing data to outputstream...
DEBUG 11-11 11:08:28,986 (PGDWriter.java:write:56)  -Writing data to outputstream done.
INFO  11-11 11:08:30,340 (PGDSpiderConfig.java:loadConfig:64)  -load PGDSpider configuration from: /home/jorge/PGDSpider_2.1.1.2/spider.conf.xml
DEBUG 11-11 11:08:30,585 (ParserFactory.java:getParserInstance:177)  -New VcfParser instance
DEBUG 11-11 11:08:30,639 (ParserFactory.java:getParserInstance:177)  -New VcfParser instance
DEBUG 11-11 11:08:31,520 (PGDWriter.java:write:47)  -Writing data to outputstream...
DEBUG 11-11 11:08:31,552 (PGDWriter.java:write:56)  -Writing data to outputstream done.
INFO  11-11 11:08:32,750 (PGDSpiderConfig.java:loadConfig:64)  -load PGDSpider configuration from: /home/jorge/PGDSpider_2.1.1.2/spider.conf.xml
DEBUG 11-11 11:08:32,936 (ParserFactory.java:getParserInstance:177)  -New VcfParser instance
DEBUG 11-11 11:08:32,987 (ParserFactory.java:getParserInstance:177)  -New VcfParser instance
DEBUG 11-11 11:08:33,938 (PGDWriter.java:write:47)  -Writing data to outputstream...
DEBUG 11-11 11:08:33,978 (PGDWriter.java:write:56)  -Writing data to outputstream done.
INFO  11-11 11:08:35,131 (PGDSpiderConfig.java:loadConfig:64)  -load PGDSpider configuration from: /home/jorge/PGDSpider_2.1.1.2/spider.conf.xml
DEBUG 11-11 11:08:35,320 (ParserFactory.java:getParserInstance:177)  -New VcfParser instance
DEBUG 11-11 11:08:35,392 (ParserFactory.java:getParserInstance:177)  -New VcfParser instance
DEBUG 11-11 11:08:40,346 (PGDWriter.java:write:47)  -Writing data to outputstream...
DEBUG 11-11 11:08:41,692 (PGDWriter.java:write:56)  -Writing data to outputstream done.
INFO  11-11 11:08:43,187 (PGDSpiderConfig.java:loadConfig:64)  -load PGDSpider configuration from: /home/jorge/PGDSpider_2.1.1.2/spider.conf.xml
DEBUG 11-11 11:08:43,398 (ParserFactory.java:getParserInstance:177)  -New VcfParser instance
DEBUG 11-11 11:08:43,473 (ParserFactory.java:getParserInstance:177)  -New VcfParser instance
DEBUG 11-11 11:08:44,746 (PGDWriter.java:write:47)  -Writing data to outputstream...
DEBUG 11-11 11:08:44,963 (PGDWriter.java:write:56)  -Writing data to outputstream done.
INFO  11-11 11:08:46,216 (PGDSpiderConfig.java:loadConfig:64)  -load PGDSpider configuration from: /home/jorge/PGDSpider_2.1.1.2/spider.conf.xml
DEBUG 11-11 11:08:46,406 (ParserFactory.java:getParserInstance:161)  -New PGDParser instance
DEBUG 11-11 11:08:46,437 (ParserFactory.java:getParserInstance:161)  -New PGDParser instance
DEBUG 11-11 11:08:46,438 (PGDParser.java:parse:54)  -Reading data from inputstream...
INFO  11-11 11:08:49,727 (PGDSpiderConfig.java:loadConfig:64)  -load PGDSpider configuration from: /home/jorge/PGDSpider_2.1.1.2/spider.conf.xml
DEBUG 11-11 11:08:50,016 (ParserFactory.java:getParserInstance:161)  -New PGDParser instance
DEBUG 11-11 11:08:50,061 (ParserFactory.java:getParserInstance:161)  -New PGDParser instance
DEBUG 11-11 11:08:50,063 (PGDParser.java:parse:54)  -Reading data from inputstream...
INFO  11-11 11:08:51,989 (PGDSpiderConfig.java:loadConfig:64)  -load PGDSpider configuration from: /home/jorge/PGDSpider_2.1.1.2/spider.conf.xml
DEBUG 11-11 11:08:52,193 (ParserFactory.java:getParserInstance:161)  -New PGDParser instance
DEBUG 11-11 11:08:52,220 (ParserFactory.java:getParserInstance:161)  -New PGDParser instance
DEBUG 11-11 11:08:52,221 (PGDParser.java:parse:54)  -Reading data from inputstream...
INFO  11-11 11:08:54,070 (PGDSpiderConfig.java:loadConfig:64)  -load PGDSpider configuration from: /home/jorge/PGDSpider_2.1.1.2/spider.conf.xml
